"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030203","GO:0030203","glycosaminoglycan metabolic process","61/5716","117/18614",1.05584895746597e-06,2.82879533187759e-05,1.94405873835183e-05,"ST3GAL1/XYLT2/CD44/CHPF2/HEXB/FOXC1/ST3GAL6/NDST1/HMMR/PDGFB/XYLT1/CEMIP/HYAL4/NFKB1/UGDH/B3GAT1/ST3GAL4/GCNT2/UST/PDGFRB/SLC10A7/B4GALT4/HS3ST2/CHST3/TNFAIP6/CHPF/IL1B/IDUA/SLC35D2/LYVE1/CEMIP2/GNS/EDNRB/GALNT5/GLCE/NDST4/EGF/CHST7/EXT2/EDNRA/ANGPT1/PXYLP1/B3GNT7/PGLYRP2/NDST3/IL15/CHST14/CSGALNACT2/GLB1/B3GNT2/CHST11/DSEL/B4GAT1/CHST2/CHST1/SGSH/EXT1/BGN/AP2A1/CHSY3/HEXA",61
"GO:0002573","GO:0002573","myeloid leukocyte differentiation","104/5716","227/18614",1.08474309825176e-06,2.8872887227448e-05,1.98425768324182e-05,"GAB2/KITLG/SBNO2/FSTL3/CDC42/GPR137B/CEACAM1/PSEN1/OSTM1/TESC/TF/EFNA2/PLA2G3/MYH9/DHRS2/SRP54/RASSF2/SFRP1/RELB/LILRB1/CDK6/ITGB8/GATA3/SH3PXD2A/CD81/TCIRG1/LTBR/NEDD9/VEGFA/NR3C1/ID2/GPR68/INHBA/PDE1B/TNFAIP6/BATF3/MT1G/MED1/CCR7/LIF/LRRC17/ZBTB46/TSPAN2/NOTCH2/CD101/TLR4/RIPK1/TLR2/LEF1/TNFRSF11A/EPHA2/HAX1/PARP1/LBR/GPC3/POU4F1/UBASH3B/PRKCA/LRRK1/KLF10/PPARGC1B/CD109/IL34/RUNX1/GAB3/TGFBR2/IL15/F2RL1/CSF2/TNFRSF11B/SLC4A2/FBN1/BATF2/INPP5D/ROR2/GPR183/FOS/OSCAR/JAGN1/JUNB/PIK3CD/CEBPB/NRROS/JUN/FAM20C/GATA2/ZFPM1/TMEM64/FES/CSF1R/ANXA2/CSF1/SOCS1/IRF7/ZFP36L1/SIGLEC15/SRC/ZNF675/L3MBTL3/MAFB/TNF/BGLAP/CEBPA/LYN",104
"GO:0048754","GO:0048754","branching morphogenesis of an epithelial tube","77/5716","157/18614",1.08666231866912e-06,2.8872887227448e-05,1.98425768324182e-05,"PLXND1/HOXA11/PKD1/TIE1/CELSR1/EDN1/NRP1/SIX4/STK4/CTSZ/LAMA1/RASIP1/TMEM59L/MET/ENG/AREG/MDK/VDR/TIMELESS/VEGFA/FGF1/WNT5A/ACVR1/WNT6/PKD2/MSX2/RDH10/TBX2/SOX9/PAX8/MED1/GZF1/SIX1/KDR/HOXD11/FOXA1/LAMA5/MYCN/AGT/SPRY2/LEF1/EGF/PML/EPHA2/GDF7/SFRP2/GPC3/PAK1/EDNRA/MMP14/RBM15/TGFBR2/SPRY1/ILK/GREM1/NKX3-1/GBX2/GDNF/NPNT/CLIC4/SEMA3E/SIX2/FOXC2/EXT1/NOG/TACSTD2/CSF1/WT1/PBX1/PTCH1/COL4A1/SRC/NRARP/DDR1/LGR4/TNF/FOXD1",77
"GO:0032944","GO:0032944","regulation of mononuclear cell proliferation","110/5716","243/18614",1.11263739873277e-06,2.9441392896509e-05,2.02332761528272e-05,"CD22/IGF1/TNFRSF1B/KITLG/TNFRSF9/GAL/NCK2/ST6GAL1/ARG2/MEF2C/PTPRC/EFNB1/DHPS/SOS2/NFATC2/TNFSF13B/CD276/RIPK2/IL7/LILRB1/RASAL3/EBI3/AHR/VSIR/BST1/CD81/PRLR/HES1/CBLB/IL1A/ZAP70/TACR1/IGFBP2/SLAMF1/TNFSF4/GPAM/CD274/TNFSF18/PKN1/NCKAP1L/SDC4/CDKN1A/IRF1/IL1B/TNFSF9/CD70/TICAM1/RAC2/TWSG1/IDO1/LGALS3/SFTPD/VAV3/PTPN22/IL6ST/ANXA1/GPNMB/IL6/TLR4/LRRC32/PDE5A/SLC7A1/ERBB2/TNFRSF21/TIRAP/IL18/SH3RF1/TNFRSF14/CD1D/TNFRSF13C/ICOSLG/ZBTB7B/CHRNB2/VCAM1/TGFBR2/IL15/CASP3/SLC4A2/IGF2/IL12A/INPP5D/GPR183/BCL2L1/PRNP/CEBPB/STAT5B/CLCF1/ATAD5/SOX11/PAWR/CSF1/IRS2/ZP3/HMGB1/CD55/ADA/PDCD1LG2/CARD11/AGER/LST1/HLA-E/HLA-G/HLA-A/HLA-DPB1/HLA-DPA1/HLA-DMB/LYN/RASSF5/CCL5/CD24",110
"GO:0045216","GO:0045216","cell-cell junction organization","99/5716","214/18614",1.13235583729041e-06,2.97185634031729e-05,2.04237585604518e-05,"CD9/CLDN11/SNAI2/PRKCH/VCL/CDH10/CTNNA1/PKP2/HDAC7/ROCK1/CDC42/WDR1/CDH19/LIMS2/FERMT2/FSCN1/ACTB/PTPN23/PKP1/EPB41L3/TGFB2/DSP/OCEL1/CDH20/SMAD7/PARD6A/TJP1/NUMBL/LSR/CAV1/TGFBR1/CNTNAP1/NECTIN1/PERP/VEGFA/CDH6/ECT2/EPHA4/TJP2/PARD6B/SNAI1/IL1B/CDH15/AFDN/RAMP2/NUMB/GRHL1/AGT/CCM2/TLN1/ADAM10/MARVELD3/CDH13/EPHA2/RAB13/ANK2/NLGN4X/PARD3/MPP7/CDH8/FER/PTPRO/CDH12/PRKCA/CXADR/RHOC/ACE/FZD5/HIPK1/F2RL1/MICALL2/SVEP1/PLEKHA7/SMAD3/LIMS1/CDH2/MTSS1/TLN2/HEG1/CNTNAP2/UGT8/PLEC/F2R/EXT1/CSF1R/GJD3/ACTG1/PKP3/PIP5K1C/NF2/FBF1/CLDN4/FLNA/SRC/MYO1C/AJM1/TNF/CLDN23/GJA5",99
"GO:1901888","GO:1901888","regulation of cell junction assembly","99/5716","214/18614",1.13235583729041e-06,2.97185634031729e-05,2.04237585604518e-05,"SNAI2/PRKCH/VCL/STAU2/LZTS1/NTN1/ROCK1/FERMT2/MEF2C/COL16A1/NRP1/SIX4/SYNDIG1/SRPX2/TJP1/SFRP1/ICAM5/CAV1/DKK1/ASIC2/ABI3/EFNB3/RAPGEF2/NECTIN1/CORO1C/CUX2/MDGA1/VEGFA/WNT5A/TEK/SLITRK3/SDC4/SNAI1/IL1B/SIX1/RAP1B/MACF1/KDR/LRRC4B/ADGRB3/EPHA7/AGT/TLN1/TLR2/THBS1/CLSTN3/AMIGO2/ACVRL1/ST8SIA2/EPHA2/PHLDB2/SNCA/PTPRJ/WNT7A/MMP14/FZD1/CLSTN2/ACE/CHRNB2/PDLIM5/FZD5/PTPN13/DLC1/SLITRK5/LRFN5/ARF6/GREM1/SMAD3/DAPK3/IL1RAPL1/LIMS1/CLSTN1/LRRN3/CNTNAP2/LRRN1/AMIGO3/BDNF/OXTR/ADGRB1/EPHB3/ACTG1/EFNA5/SLITRK6/FLRT2/SLITRK2/THBS2/SLIT1/SEMA4D/APOD/IL1RAPL2/IL1RAP/NLGN3/NTNG2/SRC/S100A10/MYO1C/NTRK1/TNF/FMN1",99
"GO:0030195","GO:0030195","negative regulation of blood coagulation","32/5716","50/18614",1.21018200898123e-06,3.16319931615826e-05,2.17387422922688e-05,"TFPI/CD9/PLAUR/FAP/EDN1/CEACAM1/CPB2/APOH/PDGFB/PLAT/SERPINE1/VTN/SH2B3/ADTRP/PLAU/TSPAN8/APOE/PDGFRA/SERPINE2/THBS1/SERPING1/UBASH3B/PRKCD/NOS3/C1QTNF1/CD34/ANXA2/ABAT/PROS1/PRKG1/PDGFA/SERPINB2",32
"GO:0051651","GO:0051651","maintenance of location in cell","106/5716","233/18614",1.29672325495016e-06,3.37568037624676e-05,2.31989952025602e-05,"IBTK/CX3CL1/ATP1A2/TMSB10/HSPA5/HEXB/CYBA/MCOLN3/ASPM/SP100/TMEM38A/PSEN1/PTPRC/P2RX7/SLC8B1/NOS1/KDELR3/SUN2/TSPO/BDKRB1/NTSR1/PLCB4/ARL2BP/CEMIP/SLC30A4/JPH1/GRIK5/CAV1/PLCH1/SLC30A3/ANKRD13C/CASQ2/PKD2/SRGN/ITPR2/ATP7B/SLC25A23/CCR7/F2RL3/VPS13C/APOE/SYNE1/DZIP1/OS9/KDELR2/TXN/TAF8/CXCL9/BBS4/PML/NOL3/TRPM2/AKT1/CASQ1/CALM2/TRPC1/SNCA/CAMK2D/ANK2/GSN/GSTO1/JPH2/PLCB3/CACNA1C/AKAP6/JPH3/UBASH3B/HK1/TMSB15A/TMSB15B/PINK1/HK2/GPER1/CDK5/TAF3/HSP90B1/PRKCE/P2RY6/HAP1/MTLN/CD19/CALR/F2R/PLCB1/PRKD1/PDIA2/RASA3/TRDN/INSIG1/TPCN1/PLCD1/GM2A/FLNA/ANXA6/ERO1A/RYR2/CALM1/DMD/GP1BB/TMSB4X/GSTM2/HEXA/TWF2/LYN/ITGB3/TMSB15C",106
"GO:0006874","GO:0006874","intracellular calcium ion homeostasis","132/5716","303/18614",1.34573039073559e-06,3.48913161791525e-05,2.39786764868761e-05,"IBTK/CX3CL1/ATP1A2/BAK1/HEXB/HERPUD1/CYBA/MCOLN3/ATP2B4/ATP2B1/TMEM38A/SLC24A1/EDN1/SCGN/PSEN1/PTPRC/P2RX7/SLC8B1/NOS1/BDKRB1/NTSR1/PLCB4/CEMIP/JPH1/CAV2/CAV1/CXCL12/CDH23/P2RX1/CCL7/WFS1/TCIRG1/VDR/STC2/WNT5A/PLCH1/SLC8A2/CASQ2/PKD2/SLC10A7/NPY/ITPR2/ATP7B/SLC25A23/CCR7/EDN2/F2RL3/TNNI3/APOE/TRPC4/TMEM165/TRPC6/RMDN3/RAP1GDS1/TRPC3/CXCL9/PML/NOL3/TRPM2/SYPL2/ATP1B1/CASQ1/CALM2/TRPM8/TRPC1/SNCA/CAMK2D/ANK2/GSTO1/JPH2/PLCB3/CACNA1C/AKAP6/EDNRA/JPH3/UBASH3B/ADCY8/MICU3/MCU/NPTN/SV2A/STC1/ATP13A2/PTH1R/DISC1/ADORA1/GRIK2/GPER1/CDK5/CACNB2/PRKCB/HSP90B1/STIM1/P2RY1/PRKCE/P2RY6/CALB2/HAP1/CHRNA7/MTLN/CALCB/BNIP3/BOK/CD19/GRINA/CALR/TMEM64/F2R/CACNB4/PLCB1/PRKD1/SLC24A3/SV2B/RASA3/TRDN/TPCN1/PLCD1/ERC2/SLC24A5/FZD9/FLNA/ANXA6/ERO1A/RYR2/CALM1/DMD/TGM2/GP1BB/GSTM2/LYN/ITGB3/CCL5",132
"GO:0042391","GO:0042391","regulation of membrane potential","179/5716","433/18614",1.4037141828594e-06,3.62485228746425e-05,2.4911401985389e-05,"BAD/CACNA1G/SCN4A/EHD3/ATP1A2/FHL1/BAK1/ADRB1/SLC4A8/HEBP2/PKP2/GNA15/SEZ6/ATP1B3/NEDD4/PTPN3/WDR1/ACTN2/EDN1/PSEN1/MEF2C/P2RX5/P2RX7/SLC8B1/KCNH4/NRCAM/DSP/KCNK6/STX1B/HCN2/P2RX6/TSPO/RIMS4/NTSR1/CHRNA4/SNTA1/SMAD7/ABCD1/GABRE/NALCN/PIEZO1/KCNN4/ATP1A3/SCN1B/GRIK5/CAV1/STX1A/DVL1/P2RX1/CHRNE/ASIC2/CNTNAP1/MPP2/RANGRF/GABRA4/GLRB/CUX2/BVES/SLC29A1/TBX18/NUP155/FGF12/SLC4A3/TACR1/RAB3GAP1/GRIN3B/RIMS3/RGS4/CHRNB4/KMT2A/SLC8A2/CASQ2/ADRA1A/POPDC2/IFI6/KDR/YWHAH/ATP1B2/FGF13/POPDC3/DLG4/SPART/P2RX4/KCNH3/KCNMB4/KCNK1/BIN1/CHRNA1/SLC39A8/KCNH5/ARRB2/PMAIP1/AKT1/ATP1B1/KCNH1/HCN3/PARP1/SCN1A/ARL6IP5/SNCA/CAMK2D/ANK2/USP53/GABRR1/NLGN4X/HTR3B/GRIK4/CACNA1C/AKAP6/KCNE4/GPD1L/PID1/CXADR/WNT7A/GNA14/KCNMA1/PINK1/NPR2/CHRNB2/SHANK1/GABRB1/ADORA1/GRIK3/GRIK2/GPER1/CDK5/STOX1/CACNB2/SCN3B/NETO1/PIP5KL1/CACNB3/CHRM1/ADRB2/KCNK9/KCNMB3/GRIK1/KCNK3/KCND3/BCL2L1/GLRX/NPAS4/CNIH2/CHRNA7/KCNE3/MTLN/BNIP3/BOK/SCN4B/KCNA2/GPR88/CACNB4/GRID1/ABAT/GRIN2A/KCNQ3/KCNH7/TRDN/RGS7BP/MAPT/GABRD/PRKAR1B/FZD9/RELN/NLGN3/CACNA1H/FLNA/SRC/RYR2/CALM1/NOS1AP/DMD/INSYN2B/INSYN1/CLIC1/TNF/KCTD7/SHANK3/GJA5",179
"GO:0006909","GO:0006909","phagocytosis","107/5716","236/18614",1.4128286259563e-06,3.6337952259596e-05,2.4972861354798e-05,"FYN/SYT7/CYBA/ELMO2/CNN2/RAB27A/CDC42/ICAM3/PTPRC/P2RX7/MYH9/SIRPB1/SRPX/ICAM5/MET/LIMK1/CCL2/CORO1C/LEPR/NCF2/SLAMF1/APOA1/ANXA11/NCKAP1L/LRP1/IL1B/C3/CD93/PRKCG/CFP/TMEM175/PLD2/LBP/LDLR/SYT11/SFTPD/VAV3/IL15RA/ANXA1/DYSF/APPL2/MYO1G/TLR4/TLR2/MYO7A/THBS1/ITGAV/ANXA3/MFGE8/VAV1/LYST/GULP1/RAB5A/AHSG/MEGF10/GSN/PTPRJ/PAK1/ITGB1/APPL1/COLEC12/SPON2/ITGB2/VAV2/ADORA1/PTX3/PRKCD/IL15/ITGA2/F2RL1/ABCA1/MBL2/TUB/PLD4/AXL/RAB31/ITGAM/CD14/PRKCE/P2RY6/CLEC7A/SPHK1/ANO6/CALR/RAB39A/GATA2/ADGRB1/CAMK1D/GAS6/PLA2G6/PIP5K1C/BCR/PEAR1/HMGB1/MYO18A/CD47/SRC/SIRPA/TGM2/PLPP4/C4B/TNF/TICAM2/C4A/LYN/ITGB3/XKR5",107
"GO:1903510","GO:1903510","mucopolysaccharide metabolic process","52/5716","96/18614",1.43969533023728e-06,3.68814381411382e-05,2.53463660991239e-05,"ST3GAL1/XYLT2/CD44/CHPF2/HEXB/ST3GAL6/NDST1/HMMR/PDGFB/XYLT1/CEMIP/HYAL4/NFKB1/UGDH/ST3GAL4/UST/SLC10A7/B4GALT4/CHST3/TNFAIP6/CHPF/IL1B/IDUA/SLC35D2/LYVE1/CEMIP2/GNS/EDNRB/GLCE/NDST4/EGF/CHST7/EXT2/EDNRA/ANGPT1/B3GNT7/NDST3/IL15/CHST14/CSGALNACT2/GLB1/B3GNT2/CHST11/DSEL/B4GAT1/CHST2/CHST1/EXT1/BGN/AP2A1/CHSY3/HEXA",52
"GO:0008544","GO:0008544","epidermis development","158/5716","375/18614",1.53107130192262e-06,3.90666209181049e-05,2.68481091289522e-05,"CFLAR/FUZ/PRKCH/SLC4A7/ALX4/OPN3/FOXC1/MCOLN3/LAMC2/DLX3/NGFR/COL17A1/ELOVL1/ROCK1/GAL/TP63/FOSL2/PLOD1/PTHLH/TGM1/TGFB2/DSP/IFT74/MACROH2A2/TRIOBP/TRPC4AP/STK4/FERMT1/JAG1/TRADD/TGM5/ERCC2/LSR/GSDME/MET/PLOD3/EZH2/CDH23/DKK1/NHERF1/GLI1/VDR/PPARD/WNT5A/COL7A1/HES1/IL1A/IGFBP5/ERRFI1/IRF6/STMN1/KLF7/CCN2/MSX2/GORAB/PLS1/CSTA/INHBA/HOXC13/SNAI1/EREG/SOX21/SOX9/MED1/KRT36/BCL11B/TNFRSF19/ZFP36/KRT17/PALLD/LAMA5/KRT34/PLAAT4/GRHL1/MYCN/FST/EMP1/LRP4/ANXA1/KRT7/WNT10A/FLNB/KLF4/MYO7A/IFT172/NAB1/LGR5/KRT71/GATA6/EPHA2/CRABP2/NFKBIZ/EGFR/UGCG/ST14/LATS2/IL18/APCDD1/CD109/EDA/HOXB13/INTU/CASP3/FABP5/FZD6/SVEP1/ATP7A/AQP3/SPINT1/KRT80/EVPL/ADAM9/MAP2K1/CLIC4/BNC1/LDB2/KRT86/KRT75/KRT4/KRT83/KRT15/KRT9/RELA/KRT28/CST6/SFN/ZDHHC21/PLEC/TMEM132E/EXT1/POU3F2/SLITRK6/JAG2/MAFF/KRT79/ZFP36L1/POU3F1/PTCH1/KRT3/BCR/KRT14/PPARA/CLDN4/KAZN/AKR1C3/MYO6/LAMB3/PDGFA/HRNR/HES5/DLL1/SOX18/MAFB/CDSN/LGR4/KRT81/TNF/TXNIP",158
"GO:0043087","GO:0043087","regulation of GTPase activity","154/5716","364/18614",1.54995192703909e-06,3.93920588571594e-05,2.70717628030376e-05,"PLXND1/CX3CL1/ARHGAP44/TRAPPC6A/RTN4R/ADRB1/ARHGEF5/RASGRF1/TBC1D1/NGEF/GNB5/FERMT2/PICALM/RASAL2/RGS11/PLXNA2/RAP1GAP/GPR137B/RAPGEF3/ASAP3/DOCK9/GMIP/ITGA6/TBC1D2/TBC1D10A/SOS2/SFRP1/ARHGEF10/RASAL3/RASIP1/SIPA1L3/RASA4/ADAP1/CAV2/MET/CHN2/EZH2/RIC1/TBC1D12/RGS9/CCL7/CCL2/RAPGEF2/CORO1C/RASAL1/NEDD9/RIPOR2/BVES/RASGRF2/WNT5A/ECT2/CBLB/PLXNA1/ARHGEF26/CCL20/APC2/RAB3GAP1/EPHA4/RALGPS2/DOCK7/SIPA1L2/RGS4/STMN1/TBC1D15/PREX1/AMOT/CCR7/ARHGAP22/SH3BP4/DOCK6/SNX9/AFDN/PLXNA3/RAP1GAP2/MTSS2/TBC1D8B/VAV3/DOCK10/PLXNC1/SPRY2/RAPGEF5/BIN1/BCAR3/ARHGAP29/ARHGAP24/RASGEF1B/RAP1GDS1/FGD4/GRTP1/BBS4/IQGAP1/ARRB2/ERBB2/VAV1/EVI5L/EPHA2/RGL1/EPHA5/RASA1/TBC1D7/TBC1D7-LOC100130357/FGD2/EPHA1/DOCK11/RSU1/RGS10/ITGB1/TIAM1/ARHGAP27/ABR/VAV2/GPSM1/PLXNB1/SPRY1/F2RL1/WDR41/ARHGAP42/NDEL1/MAPRE2/SGSM1/LIMS1/RASA4B/S1PR1/RHOG/ALS2CL/FGD6/F2R/EPHB3/RGS7/EFNA5/PRKG1/RASA3/BCR/SEMA4D/RALGAPA2/PLXNB2/SYNGAP1/SIPA1L1/S100A10/NTRK1/PLXNB3/ARHGAP11A/FICD/TGM2/TBC1D8/SIPA1/TAX1BP3/PLXNA4/CCPG1/CCL5/TBC1D3B/TBC1D3G/TBC1D3C/TBC1D3E",154
"GO:0090092","GO:0090092","regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","131/5716","301/18614",1.5691749462281e-06,3.97236019852231e-05,2.72996122016807e-05,"ITGA3/ARID4A/HSPA5/LTBP1/DKK3/FSTL4/HIPK2/TGFBR3/FSTL3/PALS1/ITGA8/CHRD/GLG1/TGFB2/FERMT1/SMAD7/CHRDL1/NOMO3/NOMO1/SFRP1/CAV2/CAV1/TGFBR1/ASPN/ENG/BMPR1A/DKK1/MTMR4/SMURF2/SNX25/FOLR1/BMP5/TTK/LOX/WNT5A/HES1/ACVR2B/ACVR1/BMP8B/ONECUT2/MSX2/ACVR2A/INHBA/GIPC1/LRP1/TNFAIP6/PMEPA1/RASL11B/KDR/TWSG1/GDF1/GDF15/SPART/NOTCH2/FST/SPRY2/CCN3/KIAA0319/SULF1/CTDSPL2/THBS1/EMILIN1/TET1/CILP/SINHCAF/ACVRL1/PCSK6/TGFB1I1/MYOCD/GATA6/ARK2C/PRDM16/CCN1/LEFTY2/PARP1/GDF7/DLX1/IL17RD/SFRP2/SCUBE3/GPC3/CER1/LATS2/CRIM1/PELO/DAB2/GDF6/CD109/RBPMS/FZD1/NBL1/MICOS10-NBL1/RBBP4/INHBB/MSX1/FSTL1/TGFBR2/SPRY1/SAP30/DACT2/HTRA1/SPRED1/FBN1/ILK/RBPMS2/GREM1/SMAD3/VASN/TNXB/LDLRAD4/NPNT/CHST11/WFIKKN2/NRROS/SOX11/NOG/BCL9L/PPARA/MAGI2/SPRED3/SKOR1/VEPH1/SLC2A10/HES5/SMURF1/HSPA1A/PEG10/LEFTY1/FOXD1/GDF10/KCNQ1OT1",131
"GO:0030168","GO:0030168","platelet activation","67/5716","133/18614",1.60453169721914e-06,4.04593678945847e-05,2.780525929794e-05,"CD9/VCL/DGKA/ACTB/CEACAM1/PDGFB/MYH9/MYL9/MYL12A/COMP/PIK3CG/HSPB1/P2RX1/VWF/SH2B3/STXBP3/PLA2G4A/F2RL3/APOE/EMILIN2/VAV3/IL6ST/PDGFRA/SERPINE2/IL6/STXBP1/TLR4/TLN1/EMILIN1/MMRN1/VAV1/DGKQ/DGKZ/FERMT3/SLC7A11/UBASH3B/PRKCA/VAV2/PRKCD/F2RL2/NOS3/FZD6/FUNDC2/ILK/AXL/COL3A1/P2RY1/C1GALT1C1/C1QTNF1/F2R/RAP2B/ABAT/ACTG1/ADRA2C/PRKG1/PEAR1/BLOC1S3/FLNA/SRC/PDGFA/GP1BB/MFSD2B/CLIC1/LYN/ITGB3/ADRA2B/DGKK",67
"GO:0003073","GO:0003073","regulation of systemic arterial blood pressure","51/5716","94/18614",1.69713820444816e-06,4.26273384945378e-05,2.92951734468478e-05,"ADRB1/CYBA/RPS6KA2/EDN1/PCSK5/KCNK6/PDGFB/CTSZ/NTSR1/CORO2B/ASIC2/TACR1/ECE1/ADRA1A/NPPB/AVPR2/EDN2/ADM2/TNNI3/KL/SPX/AGT/EDNRB/IER3/PRCP/TPM1/BBS4/AGTR1/CORIN/ADM/PLCB3/PTPRO/DDAH1/ACE/ADORA1/F2RL1/NOS3/ARHGAP42/NAV2/ADRB2/GPR37L1/HSD11B2/OXTR/F2R/GAS6/NR2F2/ADRB3/SUCNR1/ADM5/TNF/GJA5",51
"GO:0055001","GO:0055001","muscle cell development","90/5716","192/18614",1.71501798610086e-06,4.29088157612006e-05,2.94886156283081e-05,"CFLAR/ISL1/IGF1/MYOM2/HDAC9/MEF2A/WDR1/ACTN1/ACTN2/EDN1/SIX4/NFATC2/MYL9/TNNT1/COMP/CAV2/ENG/PPP3CB/BMPR1A/CNTNAP1/MYH3/BVES/VEGFA/TBX18/LOX/PDGFRB/HES1/FHL2/SDC1/RGS2/RGS4/ADRA1A/OBSL1/SIX1/FLNC/TMOD2/PARP2/ACTN4/RAMP2/MYH11/PDGFRA/AGT/BIN1/NIBAN2/MYPN/PRICKLE1/TPM1/SYPL2/CASQ1/ACTA1/ANK2/MEGF10/ANKRD1/ADM/ITGB1/AKAP6/EDNRA/HOMER1/ADPRHL1/OBSCN/SORBS2/CXADR/RCAN1/ACTC1/G6PD/LMNA/SGCB/PDLIM5/TMOD4/LMOD1/MYORG/CFL2/SHOX2/CDK1/KRT8/AKAP13/MYOZ2/EFEMP2/WFIKKN2/FLII/MYOZ1/PLEC/CACNB4/NEB/ACTG1/STAC3/PPARA/NRAP/ALPK2/DMD",90
"GO:0010959","GO:0010959","regulation of metal ion transport","175/5716","423/18614",1.73140363620691e-06,4.31508735690326e-05,2.96549672166324e-05,"HECW1/CX3CL1/FYN/EHD3/ATP1A2/FHL1/BAK1/HOMER3/CYBA/PKP2/ATP2B4/SPHK2/MYLK/CACNB1/GAL/ATP1B3/NEDD4/GNB5/PTPN3/ATP2B1/TMEM38A/PTGS2/ACTN2/P2RX5/REM1/TESC/P2RX7/SLC8B1/NOS1/FXYD5/TF/TSPO/PDGFB/BDKRB1/NTSR1/SNTA1/FGF14/CEMIP/HOMER2/JPH1/KCNN4/LILRB1/SCN1B/PIK3CG/CAV1/TSPAN13/CXCL12/PPP3CB/P2RX1/CCL2/RANGRF/NHERF1/WFS1/PDGFRB/STC2/FGF12/HES1/GNAI2/KLHL24/KCNIP3/GRIN3B/RGS4/CASQ2/PKD2/PPP3CC/CXCR4/AHNAK/WNK4/HSPA2/F2RL3/YWHAH/ATP1B2/FGF13/ACTN4/CACNG6/LGALS3/GRP/P2RX4/CD63/AGT/SERPINE2/BIN1/SLC31A2/TRPC6/FXYD2/HECW2/TRPC3/CXCL9/EGF/PML/ARRB2/STAC2/SIK1/AKT1/ATP1B1/CASQ1/OSR1/CALM2/STAC/TRPC1/SNCA/CAMK2D/ANK2/STOM/GSTO1/JPH2/ITGB1/CACNA1C/AKAP6/KCNE4/HOMER1/GPD1L/CNKSR3/JPH3/UBASH3B/CABP1/EPB41/STC1/ACE/G6PD/FGF11/ADORA1/C4orf3/GPER1/NOS3/CDK5/GEM/WNK2/ATP7A/CACNB2/SCN3B/NETO1/RRAD/CHP2/STIM1/CACNB3/ADRB2/KCNAB3/PRKCE/KCNK3/P2RY6/PRNP/GLRX/HAP1/KCNE3/ALG10B/SCN4B/ANO6/CD19/CRACR2B/PER1/AKAP5/F2R/KCNIP1/CACNB4/GALR2/RGS7/PRKD1/PLA2G6/STAC3/TRDN/SESTD1/WNK3/FLNA/RYR2/STK39/CALM1/NOS1AP/DMD/PLPP4/GSTM2/LILRA2/LYN/ITGB3/CCL5",175
"GO:0009100","GO:0009100","glycoprotein metabolic process","167/5716","401/18614",1.8399636327297e-06,4.56794060171891e-05,3.1392673563094e-05,"ST3GAL1/EXTL3/XYLT2/IGF1/ERP44/CHPF2/FUT8/HEXB/SOAT1/COL11A1/GPC1/ST3GAL6/NDST1/ST6GALNAC2/ST6GAL1/ITM2A/PSEN1/POMGNT1/B4GALT1/ALG6/EDEM2/MMP24-AS1-EDEM2/PMM1/GALNT16/HIF1A/CST3/ST8SIA5/MAGT1/UGGT2/NECAB2/XYLT1/HYAL4/PLOD3/NAGLU/MANBA/UGDH/B3GAT1/ST3GAL4/ST8SIA1/GCNT2/MAN1A1/UST/PPARD/HBEGF/GORASP1/MOGS/GALNT3/MAN1C1/DHDDS/B4GALT6/RPN2/ALG2/SERP1/B4GALT4/HS3ST2/CHST3/NECAB1/CHPF/CHST8/CCR7/IDUA/SRD5A3/A4GALT/POMT1/SLC35D2/GFPT2/TMTC1/EDEM1/TMEM165/POGLUT2/STT3A/CTSL/CNMD/ITM2B/ADAMTS7/GALNT5/ST6GALNAC4/SULF1/RAB1A/TET1/GLCE/NDST4/BMPR1B/SLC39A8/COL2A1/PHLDA1/GALNT6/PCSK6/ST8SIA2/GALNT1/NPC1/GALNT2/TNIP1/CHST7/GBGT1/ST8SIA6/TCF7L2/NGLY1/EXT2/ADAMTS12/MGAT5/PXYLP1/B3GNT7/GALNT14/AMFR/MGAT4B/FBXO27/B3GALT2/NCSTN/EOGT/PTX3/RPN1/NDST3/IL15/GALNT10/ATP7A/GOLGA2/DOLPP1/MGAT5B/MGAT2/COG7/CHST14/CSGALNACT2/GLB1/B3GNT2/C1GALT1C1/CHST11/DSEL/B3GALT1/ALG14/FUT9/GXYLT2/VEGFB/GMPPB/GALNTL6/B4GAT1/ALG10B/FOXL1/MAN1B1/PAWR/TMTC2/FKRP/SGSH/SLC35C1/MGAT4C/EXT1/BACE2/BGN/HS3ST4/PLCB1/GALNT9/TMEM106A/POMK/POFUT2/B3GLCT/SULF2/FUT11/SLC2A10/CHSY3/UBE2J1/HEXA/CRPPA/C1GALT1C1L/B3GALT4/RNF103/ST6GALNAC6/MMP12",167
